iteration,Month,TimeIndex,cut_type,rhs_at_current_SEK,theta_at_current_SEK,violation_SEK,nonzeros,positive_type_arcs,dual_termination,exactness,selection_rule
1,October,22,corepoint_lp_dual_upper_cut,0.0,1326459.061152853,1326459.061152853,1477,10206,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,24,corepoint_lp_dual_upper_cut,0.0,1322791.5161835982,1322791.5161835982,1484,10026,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,27,corepoint_lp_dual_upper_cut,0.0,1314126.4328834142,1314126.4328834142,1459,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,23,corepoint_lp_dual_upper_cut,0.0,1311752.8824154346,1311752.8824154346,1416,9900,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,February,16,corepoint_lp_dual_upper_cut,0.0,1307311.7778310052,1307311.7778310052,1519,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,22,corepoint_lp_dual_upper_cut,0.0,1302362.4940924537,1302362.4940924537,1477,10206,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,25,corepoint_lp_dual_upper_cut,0.0,1297477.2706291364,1297477.2706291364,1457,10188,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,February,17,corepoint_lp_dual_upper_cut,0.0,1295821.5909539296,1295821.5909539296,1538,10442,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,34,corepoint_lp_dual_upper_cut,0.0,1293377.765811461,1293377.765811461,1368,9504,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,December,27,corepoint_lp_dual_upper_cut,0.0,1290470.838229165,1290470.838229165,1461,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,24,corepoint_lp_dual_upper_cut,0.0,1282558.4283034508,1282558.4283034508,1480,10026,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
